Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU06761.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU00008.7	CT14.1_RNA	1.7660444431189783	False	14.1	RNA	Lipid-Biosynthesis
NCU02969.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU10359.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU04721.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU07937.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU03504.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	Lipid-Biosynthesis
NCU07761.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU02282.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU03492.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU06342.7	CT14.1_RNA	1.3090169943749463	False	14.1	RNA	Lipid-Biosynthesis
NCU10400.7	CT14.1_RNA	0.38433852467434215	False	14.1	RNA	Lipid-Biosynthesis
NCU03955.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU02726.7	CT14.1_RNA	1.3090169943749463	False	14.1	RNA	Lipid-Biosynthesis
NCU04289.7	CT14.1_RNA	0.7580781044003322	False	14.1	RNA	Lipid-Biosynthesis
NCU05259.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	Lipid-Biosynthesis
NCU02408.7	CT14.1_RNA	2.0	False	14.1	RNA	Lipid-Biosynthesis
NCU02209.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	Lipid-Biosynthesis
NCU09497.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU03929.7	CT14.1_RNA	0.38433852467434215	False	14.1	RNA	Lipid-Biosynthesis
NCU03176.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU03880.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU01993.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	Lipid-Biosynthesis
NCU03223.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU07307.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	Lipid-Biosynthesis
NCU07308.7	CT14.1_RNA	1.7660444431189783	False	14.1	RNA	Lipid-Biosynthesis
NCU04380.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU06063.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU01654.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU00580.7	CT14.1_RNA	0.06030737921409146	False	14.1	RNA	Lipid-Biosynthesis
NCU02624.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU08762.7	CT14.1_RNA	1.4383711467890776	False	14.1	RNA	Lipid-Biosynthesis
NCU06402.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU02693.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU05991.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	Lipid-Biosynthesis
NCU03006.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU04156.7	CT14.1_RNA	1.3090169943749463	False	14.1	RNA	Lipid-Biosynthesis
NCU06207.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU01333.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU01175.7	CT14.1_RNA	2.0	False	14.1	RNA	Lipid-Biosynthesis
NCU02571.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU03922.7	CT14.1_RNA	0.38433852467434215	False	14.1	RNA	Lipid-Biosynthesis
NCU00712.7	CT14.1_RNA	2.0	False	14.1	RNA	Lipid-Biosynthesis
NCU03633.7	CT14.1_RNA	0.06030737921409146	False	14.1	RNA	Lipid-Biosynthesis
NCU08671.7	CT14.1_RNA	0.38433852467434215	False	14.1	RNA	Lipid-Biosynthesis
NCU11381.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU07719.7	CT14.1_RNA	0.06030737921409146	False	14.1	RNA	Lipid-Biosynthesis
NCU06054.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU08280.7	CT14.1_RNA	0.28066019966134903	False	14.1	RNA	Lipid-Biosynthesis
NCU01141.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU01371.7	CT14.1_RNA		False	14.1	RNA	Lipid-Biosynthesis
NCU01119.7	CT14.1_RNA	0.28066019966134903	False	14.1	RNA	Lipid-Biosynthesis
Average	CT14.1_RNA	1.1778024469549575	True	14.1	RNA	Lipid-Biosynthesis
NCU06694.7	CT14.1_protein		False	14.1	protein	Lipid-Biosynthesis
NCU08976.7	CT14.1_protein		False	14.1	protein	Lipid-Biosynthesis
NCU08927.7	CT14.1_protein		False	14.1	protein	Lipid-Biosynthesis
NCU02468.7	CT14.1_protein	1.7660444431189783	False	14.1	protein	Lipid-Biosynthesis
NCU06870.7	CT14.1_protein	2.0	False	14.1	protein	Lipid-Biosynthesis
