Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU04385.7	CT14.1_RNA	0.38433852467434215	False	14.1	RNA	Amino-Acid-Biosynthesis
NCU00792.7	CT14.1_RNA	1.848048096156426	False	14.1	RNA	Amino-Acid-Biosynthesis
NCU01666.7	CT14.1_RNA	0.38433852467434215	False	14.1	RNA	Amino-Acid-Biosynthesis
NCU02450.7	CT14.1_RNA	0.38433852467434215	False	14.1	RNA	Amino-Acid-Biosynthesis
Average	CT14.1_RNA	1.0087096749794962	True	14.1	RNA	Amino-Acid-Biosynthesis
NCU03756.7	CT14.1_protein	1.3090169943749463	False	14.1	protein	Amino-Acid-Biosynthesis
NCU00409.7	CT14.1_protein	0.06030737921409146	False	14.1	protein	Amino-Acid-Biosynthesis
NCU02333.7	CT14.1_protein	0.28066019966134903	False	14.1	protein	Amino-Acid-Biosynthesis
NCU03748.7	CT14.1_protein	0.28066019966134903	False	14.1	protein	Amino-Acid-Biosynthesis
NCU02954.7	CT14.1_protein	0.021852399266194308	False	14.1	protein	Amino-Acid-Biosynthesis
NCU03139.7	CT14.1_protein	1.3090169943749463	False	14.1	protein	Amino-Acid-Biosynthesis
NCU00378.7	CT14.1_protein	0.38433852467434215	False	14.1	protein	Amino-Acid-Biosynthesis
NCU07053.7	CT14.1_protein	1.848048096156426	False	14.1	protein	Amino-Acid-Biosynthesis
NCU00567.7	CT14.1_protein	2.0	False	14.1	protein	Amino-Acid-Biosynthesis
NCU10468.7	CT14.1_protein	1.848048096156426	False	14.1	protein	Amino-Acid-Biosynthesis
NCU02227.7	CT14.1_protein	1.848048096156426	False	14.1	protein	Amino-Acid-Biosynthesis
NCU07001.7	CT14.1_protein	2.0	False	14.1	protein	Amino-Acid-Biosynthesis
NCU02430.7	CT14.1_protein	1.848048096156426	False	14.1	protein	Amino-Acid-Biosynthesis
NCU06512.7	CT14.1_protein	2.0	False	14.1	protein	Amino-Acid-Biosynthesis
NCU09896.7	CT14.1_protein	2.0	False	14.1	protein	Amino-Acid-Biosynthesis
NCU09803.7	CT14.1_protein	0.06030737921409146	False	14.1	protein	Amino-Acid-Biosynthesis
NCU03973.7	CT14.1_protein	0.38433852467434215	False	14.1	protein	Amino-Acid-Biosynthesis
NCU04385.7	CT14.1_protein	0.38433852467434215	False	14.1	protein	Amino-Acid-Biosynthesis
NCU00792.7	CT14.1_protein	0.38433852467434215	False	14.1	protein	Amino-Acid-Biosynthesis
NCU01666.7	CT14.1_protein	2.0	False	14.1	protein	Amino-Acid-Biosynthesis
NCU02450.7	CT14.1_protein	1.848048096156426	False	14.1	protein	Amino-Acid-Biosynthesis
Average	CT14.1_protein	1.1475912440593552	True	14.1	protein	Amino-Acid-Biosynthesis
NCU03756.7	CT16.3_RNA	1.4383711467890776	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU00409.7	CT16.3_RNA	0.8954715367323469	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU02333.7	CT16.3_RNA	1.848048096156426	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU03748.7	CT16.3_RNA	2.0	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU02954.7	CT16.3_RNA	0.021852399266194308	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU03139.7	CT16.3_RNA	0.8954715367323469	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU00378.7	CT16.3_RNA	1.848048096156426	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU07053.7	CT16.3_RNA	0.06030737921409146	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU00567.7	CT16.3_RNA	1.4383711467890776	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU10468.7	CT16.3_RNA	0.28066019966134903	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU02227.7	CT16.3_RNA	0.3843385246743412	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU07001.7	CT16.3_RNA	1.4383711467890776	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU02430.7	CT16.3_RNA	0.8954715367323469	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU06512.7	CT16.3_RNA	1.4383711467890776	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU09896.7	CT16.3_RNA	2.0	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU09803.7	CT16.3_RNA	1.848048096156426	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU03973.7	CT16.3_RNA	2.0	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU04385.7	CT16.3_RNA	0.8954715367323469	False	16.3	RNA	Amino-Acid-Biosynthesis
NCU00792.7	CT16.3_RNA	2.0	False	16.3	RNA	Amino-Acid-Biosynthesis
